Issue key,Issue id,Parent id,Custom field (Commercial Request),Custom field (Business Initiative),Issue Type,Custom field (Work Type Classification),Summary,Status,Created,Updated,Resolution,Resolved,Priority,Reporter,Assignee,Original Estimate,Time Spent,Custom field (Team),Custom field (PM Roadmap Items),Remaining Estimate,Custom field (Customer),Custom field (Links),Custom field (Story Point Forecast),Custom field (Story Points),Custom field (At Risk)
HS-28050,225659,218765,SSP America - Customer Data Mapping UI & Customer Reporting Functionality for New Payroll Fields,PS/Custom Development,Flyway Sub-task,Paid Customization (SOW),Flyway: Add U_EARNINGS_CODE_OVT col to Client Job Payroll Mapping tables,Reviewed,Mar/06/18 3:05 PM,Mar/13/18 3:59 PM,Done,Mar/07/18 11:16 AM,Major,damon.e.williams,damon.e.williams,0,18000,,,0,,,,,
HS-28007,224579,215410,CFA- QLLM-420 Availability Updates,PS/Custom Development,Flyway Sub-task,Paid Customization (SOW),"New permission ""Staff - Default Unconfigured Employee Availability to Unavailable""",Reviewed,Mar/01/18 7:52 AM,Mar/13/18 3:59 PM,Done,Mar/01/18 8:43 AM,Major,volodymyr.ilchenko,volodymyr.ilchenko,0,3600,,,0,,,,,
HS-27988,223989,,KFC US ACS - Alpha#_and_Permissions,HS Labor,Improvement,Paid Customization (SOW),Generalize Solution From HS-27726,Product Management,Feb/27/18 4:53 PM,Feb/27/18 4:53 PM,,,Major,john.wisneski,,,,,,,,,,,
HS-27965,223524,,CFA- QLLM-420 Availability Updates,PS/Custom Development,Improvement,Paid Customization (SOW),CFA - Availability Labels Update and Shading Key,Reviewed,Feb/26/18 9:11 PM,Mar/13/18 8:59 AM,Done,Mar/13/18 6:30 AM,Major,jason.powell,Yevgen.Kruglyk,57600,145800,,,0,,,,,
HS-27869,221350,,SSP America - Customer Data Mapping UI & Customer Reporting Functionality for New Payroll Fields,HS PayControl,RFE,Paid Customization (SOW),SSP - Overtime Earning Code Mapping,HS - RFE Closed,Feb/15/18 2:16 PM,Mar/30/18 5:38 AM,Done,Mar/07/18 1:32 PM,Major,cathi.chai,chris.sundgren,345600,,,,345600,,,,,
HS-27862,221086,,CFA_QLLM 342 - Consolidate Notifications from Schedule,Sustaining,Bug,Sustaining,Employee Schedule Email Not Including Shift Date/s,Reviewed,Feb/14/18 12:29 PM,Feb/26/18 2:03 PM,Done,Feb/23/18 6:51 AM,Major,jitterbit,yuriy.voytovych,0,57600,,,0,,,,,
HS-27796,219860,,KFCUK_NetScheduledHours_API_RDS,HS Labor,Epic,Paid Customization (SOW),KFC UK - Add Meal and Break Minutes to GetSchedule API,Definition,Feb/09/18 8:07 AM,Feb/09/18 8:07 AM,,,Major,chris.sundgren,,,,,,,,,,,
HS-27783,219693,,SSP America - Customer Data Mapping UI & Customer Reporting Functionality for New Payroll Fields,PS/Custom Development,New Feature,Paid Customization (SOW),SSP: Default OT Earning Code when not defined in mapping file,Reviewed,Feb/08/18 11:13 AM,Feb/28/18 8:15 AM,Duplicate,Feb/23/18 10:48 AM,Major,jonathan.lopez,,,,,,,,,,,
HS-27771,219447,,SSP America - Customer Data Mapping UI & Customer Reporting Functionality for New Payroll Fields,PS/Custom Development,New Feature,Core R&D,SSP: Log Errors for Blank OT Earning Codes,Reviewed,Feb/07/18 11:05 AM,Mar/13/18 4:31 PM,Done,Mar/09/18 10:55 AM,Major,jonathan.lopez,damon.e.williams,25200,50400,,,0,,,,,
HS-27743,218778,,SSP America - Customer Data Mapping UI & Customer Reporting Functionality for New Payroll Fields,PS/Custom Development,New Feature,Paid Customization (SOW),SSP: Generate Automated PRS Payroll File with Custom OT Earning Codes,Reviewed,Feb/05/18 1:43 PM,Feb/28/18 8:15 AM,Duplicate,Feb/23/18 10:51 AM,Trivial,jonathan.lopez,,,,,,,,,,,
HS-27741,218774,,SSP America - Customer Data Mapping UI & Customer Reporting Functionality for New Payroll Fields,PS/Custom Development,New Feature,Paid Customization (SOW),SSP: Generate PRS Payroll File with Custom OT Earning Codes,Reviewed,Feb/05/18 1:30 PM,Feb/28/18 8:15 AM,Duplicate,Feb/23/18 10:47 AM,Major,jonathan.lopez,jonathan.lopez,,,,,,,,,,
HS-27739,218765,,SSP America - Customer Data Mapping UI & Customer Reporting Functionality for New Payroll Fields,PS/Custom Development,New Feature,Paid Customization (SOW),SSP: Generate PRS Payroll with Multiple Earning Codes for OT,Reviewed,Feb/05/18 12:44 PM,Mar/15/18 4:04 PM,Done,Mar/08/18 2:38 PM,Major,jonathan.lopez,damon.e.williams,129600,167400,,,0,,,,,
HS-27726,218347,,KFC US ACS - Alpha#_and_Permissions,HS Labor,Improvement,Paid Customization (SOW),KFC US - Auto Assignment of Permission Sets To ASC Users Synced Through Flat Files,Reviewed,Feb/02/18 12:44 PM,Feb/27/18 5:37 PM,Done,Feb/27/18 3:51 PM,Critical,jitterbit,matthew.helgren,18000,14400,,,0,,,,,
HS-27633,215411,,CFA- QLLM-420 Availability Updates,PS/Custom Development,Improvement,Paid Customization (SOW),CFA - Availability Paint Updates ,Reviewed,Jan/25/18 10:37 AM,Mar/06/18 8:57 AM,Done,Mar/05/18 6:23 AM,Major,jason.powell,Yevgen.Kruglyk,86400,64800,,,21600,,,,,
HS-27632,215410,,CFA- QLLM-420 Availability Updates,PS/Custom Development,New Feature,Paid Customization (SOW),CFA - Default Unconfigured Availability to Fully Unavailable,Reviewed,Jan/25/18 10:37 AM,Mar/14/18 11:13 AM,Done,Mar/07/18 7:23 AM,Major,jason.powell,volodymyr.ilchenko,43200,82800,,,0,,,,,
HS-27585,213905,,SSP America - Customer Data Mapping UI & Customer Reporting Functionality for New Payroll Fields,PS/Custom Development,Improvement,Paid Customization (SOW),SSP America - Add New Stores Automatically to Mapping File,Reviewed,Jan/22/18 10:31 AM,Feb/27/18 3:46 PM,Implemented,Feb/23/18 11:31 AM,Major,jonathan.lopez,corbin.carter,79200,97380,,,0,,,,,
HS-27533,211661,,SSP America - Customer Data Mapping UI & Customer Reporting Functionality for New Payroll Fields,PS/Custom Development,New Feature,Paid Customization (SOW),SSP America - Lock Punch records that are marked as 'Reviewed',Reviewed,Jan/15/18 12:03 PM,Mar/01/18 10:42 AM,Implemented,Feb/21/18 7:16 AM,Major,jonathan.lopez,carl.smoot,100800,62100,,,38700,,,,,
HS-27527,211590,210175,KFC US ACS - Alpha#_and_Permissions,PS/Custom Development,Flyway Sub-task,Paid Customization (SOW),KFC US - ASC Hierarchy Import add Alphanumeric ID for Reporting Group nodes,Reviewed,Jan/15/18 7:49 AM,Jan/30/18 5:20 PM,Done,Jan/18/18 5:54 AM,Major,Taras.Kontsur,Taras.Kontsur,0,7200,,,0,,,,,
HS-27523,211540,,SSP America - Customer Data Mapping UI & Customer Reporting Functionality for New Payroll Fields,PS/Custom Development,New Feature,Paid Customization (SOW),SSP America - Create/Publish APIs for Mapping of PRS Data,Product Management,Jan/14/18 6:49 PM,Mar/07/18 3:23 PM,,,Major,jonathan.lopez,,,,,,,,,,,
HS-27517,211386,,SSP America - Customer Data Mapping UI & Customer Reporting Functionality for New Payroll Fields,PS/Custom Development,New Feature,Paid Customization (SOW),SSP America - Support Custom Time Off by Day Parts for PRS,Reviewed,Jan/12/18 1:53 PM,Feb/13/18 10:26 AM,Done,Jan/24/18 2:52 PM,Major,jonathan.lopez,damon.e.williams,43200,118800,,,0,,,,,
HS-27469,210175,,KFC US ACS - Alpha#_and_Permissions,PS/Custom Development,New Feature,Paid Customization (SOW),KFC US - ASC Hierarchy Import add Alphanumeric ID for Reporting Group nodes,Reviewed,Jan/05/18 12:05 PM,Jan/29/18 10:05 AM,Done,Jan/25/18 6:14 AM,Major,Sekou.Cisse,Taras.Kontsur,158400,212400,,,0,,,,,
HS-27410,208392,,CFA_QLLM 281 - Day Specific Templates,HS Labor,Bug,Sustaining,Special events - User is able to click on apply button on past weeks,Reviewed,Dec/28/17 9:04 AM,Jan/11/18 5:42 AM,Done,Jan/10/18 8:20 AM,Major,anastasiya.bulatova,clyde.tarver,21600,25200,,,0,,,,,
HS-27377,207501,,SSP America - Customer Data Mapping UI & Customer Reporting Functionality for New Payroll Fields,HS PayControl,Bug,Core R&D,SSP America: SSPAmerica Generator Uses Incorrect Pay Code For Service Charge Tip,Reviewed,Dec/20/17 12:05 PM,Dec/29/17 9:54 AM,Fixed,Dec/22/17 7:29 AM,Major,carl.smoot,carl.smoot,50400,31200,,,19200,,,,,
HS-27347,206935,,SSP America - Customer Data Mapping UI & Customer Reporting Functionality for New Payroll Fields,PS/Custom Development,Improvement,Core R&D,SSP America - Generate PRS Payroll with Custom Earning Codes for Automated Report,Reviewed,Dec/18/17 11:11 AM,Feb/13/18 10:28 AM,Works,Feb/09/18 3:24 PM,Major,jonathan.lopez,corbin.carter,28800,36000,,,18000,,,,,
HS-27333,206686,,SSP America - Customer Data Mapping UI & Customer Reporting Functionality for New Payroll Fields,PS/Custom Development,Bug,Paid Customization (SOW),SSP America - Tips Included in PRS Payroll File are not accurately displaying,Reviewed,Dec/15/17 11:19 AM,Jan/22/18 11:27 AM,Duplicate,Dec/15/17 1:56 PM,Critical,jonathan.lopez,,,,,,,,,,,
HS-27332,206685,,SSP America - Customer Data Mapping UI & Customer Reporting Functionality for New Payroll Fields,PS/Custom Development,Bug,Paid Customization (SOW),SSP America - SVC Charge Not displaying in PRS Payroll File,Reviewed,Dec/15/17 11:15 AM,Jan/22/18 11:27 AM,Fixed,Dec/21/17 8:30 AM,Critical,jonathan.lopez,carl.smoot,43200,45000,,,0,,,,,
HS-27325,206646,,SSP America - Customer Data Mapping UI & Customer Reporting Functionality for New Payroll Fields,PS/Custom Development,Bug,Paid Customization (SOW),SSP America - Payroll export - Incorrect amount of tips is shown in generated file,Reviewed,Dec/15/17 6:07 AM,Dec/20/17 4:53 PM,Fixed,Dec/15/17 11:53 AM,Major,Tetiana.Pavlius,zachary.yao,21600,37800,,,0,,,,,
HS-27308,206092,,CFA_QLLM 401: Employee Shift Thresholds,PS/Custom Development,New Feature,Paid Customization (SOW),CFA - Mobile Submit Employee Schedule Thresholds : Design Info,Product Management,Dec/12/17 11:57 AM,Jan/25/18 10:32 AM,,,Major,jason.powell,,,,,,,,,,,
HS-27288,205824,,CFA_QLLM 447 - Update Availability Restrictions Report,HS Labor,Improvement,Paid Customization (SOW),CFA - Update Availability Restrictions Report - Display fully available all days in week employee on the report,Reviewed,Dec/11/17 7:52 AM,Jan/12/18 11:23 AM,Done,Jan/09/18 7:27 AM,Major,anastasiya.bulatova,Yevgen.Kruglyk,32400,39600,,,0,,,,,
HS-27273,205490,204592,SSP America - Customer Data Mapping UI & Customer Reporting Functionality for New Payroll Fields,HS Labor,Flyway Sub-task,Paid Customization (SOW),Add report logging for PRS for SSP America - Insert Row for SSP,Reviewed,Dec/07/17 3:58 PM,Dec/19/17 9:38 PM,Implemented,Dec/08/17 1:02 PM,Major,zachary.yao,zachary.yao,0,3600,,,0,,,,,
HS-27258,204539,,Real Mex Restaurants - Emp. Certification Export,Sustaining,RFE,Paid Customization (SOW),RealMex - Export employee certification,HS - RFE Closed,Dec/05/17 1:15 PM,Jan/31/18 6:27 PM,Done,Jan/31/18 6:27 PM,Major,Sekou.Cisse,cathi.chai,144000,,,,144000,,,,,
HS-27256,203651,,SSP America - Customer Data Mapping UI & Customer Reporting Functionality for New Payroll Fields,PS/Custom Development,Improvement,Paid Customization (SOW),SSP America - Hide Disabled Jobs from Mapping File,Reviewed,Nov/29/17 9:19 AM,Jan/22/18 11:27 AM,Implemented,Dec/11/17 10:25 AM,Major,jonathan.lopez,john.wisneski,39600,15900,,,23700,,,,,
HS-27255,204945,,CFA_QLLM 281 - Day Specific Templates,HS Labor,Improvement,Core R&D,"Optimize ""GET /hs/spring/special-events""",Reviewed,Dec/06/17 8:11 AM,Dec/29/17 9:49 AM,Done,Dec/28/17 7:35 AM,Major,volodymyr.ilchenko,yuriy.voytovych,57600,79200,,,0,,,,,
HS-27251,204592,,SSP America - Customer Data Mapping UI & Customer Reporting Functionality for New Payroll Fields,HS Labor,Improvement,Paid Customization (SOW),Add report logging for PRS for SSP America,Reviewed,Dec/05/17 3:37 PM,Dec/19/17 10:35 AM,Implemented,Dec/19/17 10:10 AM,Major,zachary.yao,zachary.yao,39600,80100,,,0,,,,,
HS-27249,204516,,CFA_QLLM 416: Employee Shift Thresholds: Manager Submit,PS/Custom Development,Improvement,Paid Customization (SOW),CFA - Emp Submit Thresholds : Perm Attribute Update,Reviewed,Dec/05/17 10:51 AM,Dec/14/17 2:32 PM,Done,Dec/14/17 2:32 PM,Major,jason.powell,,,,,,,,,,,
HS-27242,204023,,SSP America - Customer Data Mapping UI & Customer Reporting Functionality for New Payroll Fields,PS/Custom Development,Improvement,Core R&D,SSP America - Generate SSP Payroll File with Custom Earning Codes,Reviewed,Dec/01/17 7:48 AM,Jan/22/18 11:27 AM,Implemented,Jan/10/18 3:47 PM,Major,jonathan.lopez,zachary.yao,28800,44100,,,0,,,,,
HS-27235,204436,,CFA_QLLM 381 - Employee Thresholds - Smart Select Impact,HS Labor,Bug,Paid Customization (SOW),CFA -SmartSelect Grid - Hours on SmartSelect should take into account meal rule assignment ,Reviewed,Dec/05/17 1:16 AM,Dec/18/17 9:17 AM,Done,Dec/15/17 6:31 AM,Major,anastasiya.bulatova,Yevgen.Kruglyk,43200,43200,,,0,,,,,
HS-27217,204183,,CFA_QLLM 416: Employee Shift Thresholds: Manager Submit,PS/Custom Development,New Feature,Paid Customization (SOW),CFA - Emp Submit Thresholds : Perm,Reviewed,Dec/04/17 8:05 AM,Dec/05/17 12:41 PM,Done,Dec/04/17 8:16 AM,Major,volodymyr.ilchenko,Taras.Kontsur,3600,7200,,,0,,,,,
HS-27202,204010,204183,CFA_QLLM 416: Employee Shift Thresholds: Manager Submit,PS/Custom Development,Flyway Sub-task,Paid Customization (SOW),CFA - Emp Submit Thresholds : Personal Settings Permission,Reviewed,Dec/01/17 3:27 AM,Dec/05/17 3:34 PM,Done,Dec/01/17 8:04 AM,Major,Taras.Kontsur,Taras.Kontsur,0,7200,,,0,,,,,
HS-27182,203672,,SSP America - Customer Data Mapping UI & Customer Reporting Functionality for New Payroll Fields,PS/Custom Development,New Feature,Paid Customization (SOW),SSP America - Custom Payroll export - Backend for Generating SSP Custom Payroll File (Part 2),Reviewed,Nov/29/17 10:19 AM,Dec/12/17 5:02 PM,Implemented,Nov/29/17 10:46 AM,Major,Tetiana.Pavlius,zachary.yao,0,18000,,,0,,,,,
HS-27134,202733,198726,KFC UK - Weekly Labor Projection,PS/Custom Development,Default Sub-task,Paid Customization (SOW),KFC UK - Permissions - Add Permission 432 for all Clients that have Perm 1004,Reviewed,Nov/23/17 4:38 AM,Dec/05/17 3:50 PM,Implemented,Dec/04/17 11:31 AM,Major,Taras.Kontsur,victor.Lefebvre,0,1200,,,0,,,,,
HS-27116,202275,,SSP America - Customer Data Mapping UI & Customer Reporting Functionality for New Payroll Fields,PS/Custom Development,Bug,Paid Customization (SOW),Exclude Inactive Stores and Fix Data Truncation Error,Reviewed,Nov/21/17 11:55 AM,Dec/05/17 5:31 PM,Fixed,Nov/22/17 1:34 PM,Major,john.wisneski,john.wisneski,50400,18000,,,32400,,,,,
HS-27115,202267,,SSP America - Customer Data Mapping UI & Customer Reporting Functionality for New Payroll Fields,HS Labor,Improvement,Core R&D,Improve runtime for SSP America Payroll Generation,Reviewed,Nov/21/17 10:58 AM,Dec/12/17 4:54 PM,Completed,Nov/29/17 1:38 PM,Major,zachary.yao,zachary.yao,36000,52200,,,0,,,,,
HS-27109,202216,198726,KFC UK - Weekly Labor Projection,PS/Custom Development,Flyway Sub-task,Paid Customization (SOW),KFC UK - Permissions - Show Projected on Budget Tab,Reviewed,Nov/21/17 5:58 AM,Dec/05/17 3:30 PM,Done,Nov/23/17 4:34 AM,Major,Taras.Kontsur,Taras.Kontsur,0,14400,,,0,,,,,
HS-27108,202209,,CFA_QLLM 415 - Shift Totals by Groupings Part 2: Restaurant Coverage - Updates to Schedule Summary,PS/Custom Development,Bug,Paid Customization (SOW),CFA -Schedule Summary SmartView Update - Correct shift calculation on schedule summary when shift split weeks,Reviewed,Nov/21/17 4:37 AM,Dec/04/17 11:21 AM,Fixed,Dec/04/17 5:48 AM,Major,anastasiya.bulatova,volodymyr.ilchenko,21600,19800,,,1800,,,,,
HS-27107,202196,,CFA_QLLM 416: Employee Shift Thresholds: Manager Submit,PS/Custom Development,New Feature,Paid Customization (SOW),CFA - Emp Submit Thresholds : Tooltips,Reviewed,Nov/21/17 1:17 AM,Dec/07/17 11:00 AM,Done,Dec/07/17 4:54 AM,Major,jason.powell,Taras.Kontsur,21600,21600,,,0,,,,,
HS-27106,202099,,CFA_QLLM 416: Employee Shift Thresholds: Manager Submit,PS/Custom Development,New Feature,Paid Customization (SOW),CFA - Emp Submit Thresholds : Hours Between Scheduled Shifts Field,Reviewed,Nov/20/17 3:18 PM,Dec/12/17 8:20 AM,Done,Dec/07/17 4:53 AM,Major,jason.powell,Taras.Kontsur,18000,28800,,,0,,,,,
HS-27105,202074,,CFA_QLLM 416: Employee Shift Thresholds: Manager Submit,PS/Custom Development,New Feature,Paid Customization (SOW),CFA - Emp Submit Thresholds : Hours Scheduled in a Day Field,Reviewed,Nov/20/17 2:17 PM,Dec/12/17 10:25 AM,Done,Dec/07/17 4:52 AM,Major,jason.powell,Taras.Kontsur,18000,28800,,,0,,,,,
HS-27104,202064,,CFA_QLLM 416: Employee Shift Thresholds: Manager Submit,PS/Custom Development,New Feature,Paid Customization (SOW),CFA - Emp Submit Thresholds : Hours Scheduled in a Week Fields,Reviewed,Nov/20/17 1:54 PM,Dec/12/17 9:24 AM,Done,Dec/07/17 4:52 AM,Major,jason.powell,Taras.Kontsur,18000,28800,,,0,,,,,
HS-27103,202061,,CFA_QLLM 416: Employee Shift Thresholds: Manager Submit,PS/Custom Development,New Feature,Paid Customization (SOW),CFA - Emp Submit Thresholds : Days Scheduled in a Week Fields,Reviewed,Nov/20/17 1:41 PM,Dec/12/17 4:55 AM,Done,Dec/07/17 4:53 AM,Major,jason.powell,Taras.Kontsur,18000,28800,,,0,,,,,
HS-27093,201948,,CFA_QLLM 415 - Shift Totals by Groupings Part 2: Restaurant Coverage - Updates to Schedule Summary,PS/Custom Development,Bug,Paid Customization (SOW),CFA -Schedule Summary SmartView Update - Meal hours should be deducted on smartView,Reviewed,Nov/20/17 6:54 AM,Nov/28/17 9:37 AM,Fixed,Nov/28/17 9:15 AM,Major,anastasiya.bulatova,volodymyr.ilchenko,36000,23400,,,12600,,,,,
HS-27086,201577,,CFA_QLLM 416: Employee Shift Thresholds: Manager Submit,PS/Custom Development,New Feature,Paid Customization (SOW),CFA - Emp Submit Thresholds : Manager Approval,Reviewed,Nov/16/17 1:40 PM,Dec/18/17 9:12 AM,Done,Dec/15/17 8:21 AM,Major,jason.powell,Kateryna.Kravchyshyn,172800,180000,,,0,,,,,
HS-27085,201576,,CFA_QLLM 416: Employee Shift Thresholds: Manager Submit,PS/Custom Development,New Feature,Paid Customization (SOW),CFA - Emp Submit Thresholds : Personal Settings UI,Reviewed,Nov/16/17 1:39 PM,Dec/20/17 9:30 AM,Done,Dec/19/17 11:34 AM,Major,jason.powell,Taras.Kontsur,136800,385200,,,0,,,,,
HS-27082,201533,,CFA_QLLM 381 - Employee Thresholds - Smart Select Impact,HS Labor,Improvement,Paid Customization (SOW),CFA - Employee Threshold - SmartSelect Grid,Reviewed,Nov/16/17 9:34 AM,Dec/05/17 3:15 AM,Done,Dec/04/17 3:00 AM,Major,staten.putnal,Yevgen.Kruglyk,100800,100800,,,0,,,,,
HS-27076,201433,,CFA_QLLM 416: Employee Shift Thresholds: Manager Submit,PS/Custom Development,Improvement,Paid Customization (SOW),CFA - QLLM 416: Employee Schedule Thresholds - Employee Facing Design Research,Development - Queued,Nov/15/17 2:37 PM,Nov/28/17 12:11 PM,,,Major,jason.powell,,,,,,,,,,,
